corridor,locality,bhk,sqft,bathrooms,floor,parking,gym,swimming_pool,garden,security,clubhouse,amenities_score,price_lakhs
dehu_solapur,Dehu Road,3,1289,2,23,0,1,1,0,0,1,3,68.39
kolhapur_nashik,Sinhagad Road,2,1163,1,12,1,1,0,1,0,1,4,84.68
kolhapur_nashik,Chakan,3,1411,3,22,0,1,1,0,1,1,4,81.2
dehu_solapur,Dehu Road,3,1165,3,1,0,0,0,1,0,0,1,52.88
dehu_solapur,Loni Kalbhor,2,1012,2,20,1,0,1,1,1,1,5,46.98
dehu_solapur,Uruli Kanchan,3,1234,3,7,0,0,0,1,1,0,2,67.81
kolhapur_nashik,Sinhagad Road,3,1328,3,15,1,1,1,1,0,1,5,114.39
dehu_solapur,Loni Kalbhor,1,440,1,6,1,1,1,0,0,0,3,25.67
kolhapur_nashik,Khed Shivapur,2,901,1,1,0,1,0,0,1,1,3,49.49
kolhapur_nashik,Bhosari,2,828,1,14,0,0,0,0,1,0,1,52.33
kolhapur_nashik,Bhosari,2,947,2,18,1,1,0,0,1,0,3,60.43
dehu_solapur,Loni Kalbhor,1,594,1,5,0,1,1,0,1,1,4,35.17
kolhapur_nashik,Bhosari,2,979,1,7,0,1,0,0,0,0,1,57.77
kolhapur_nashik,Hinjewadi,2,871,2,6,0,1,0,1,1,0,3,69.47
kolhapur_nashik,Khed Shivapur,2,1124,2,2,0,1,0,0,0,1,2,64.9
dehu_solapur,Kiwale,2,1022,2,14,1,1,0,1,0,0,3,67.38
kolhapur_nashik,Balewadi,2,942,2,13,1,1,1,0,1,1,5,105.65
kolhapur_nashik,Alandi,2,937,2,20,1,0,0,0,0,1,2,55.48
kolhapur_nashik,Khed Shivapur,4,2298,4,8,0,1,0,1,1,1,4,141.88
kolhapur_nashik,Hinjewadi,1,505,1,17,0,1,0,1,1,1,4,55.92
dehu_solapur,Manjri,1,541,1,17,1,0,0,0,0,0,1,34.74
kolhapur_nashik,Balewadi,4,2108,3,9,1,1,0,0,1,0,3,201.14
kolhapur_nashik,Moshi,2,1029,2,19,0,1,1,1,1,1,5,62.26
dehu_solapur,Ravet,2,790,1,21,0,0,0,1,0,1,2,58.93
kolhapur_nashik,Alandi,1,478,1,11,1,0,1,0,1,1,4,31.22
dehu_solapur,Hadapsar,1,536,1,15,1,0,1,1,0,0,3,51.72
kolhapur_nashik,Chakan,2,803,1,1,1,1,1,0,0,0,3,43.64
dehu_solapur,Kiwale,2,806,1,22,0,1,1,0,0,0,2,56.5
kolhapur_nashik,Alandi,4,2428,3,2,0,1,1,0,0,0,2,127.77
dehu_solapur,Dehu Road,3,1486,2,6,0,0,0,0,1,1,2,82.32
kolhapur_nashik,Balewadi,3,1222,3,16,1,1,1,1,1,1,6,153.05
dehu_solapur,Dehu Road,3,1163,2,4,1,1,1,1,1,1,6,70.89
dehu_solapur,Loni Kalbhor,2,988,1,23,1,0,0,1,0,1,3,64.32
kolhapur_nashik,Moshi,3,1368,2,12,1,1,1,0,0,1,4,85.0
dehu_solapur,Baner,2,962,2,0,1,1,0,0,0,0,2,99.47
dehu_solapur,Wakad,3,1636,2,21,1,1,1,0,1,0,4,160.77
dehu_solapur,Uruli Kanchan,2,977,1,12,1,1,1,1,0,0,4,51.12
kolhapur_nashik,Balewadi,1,604,1,15,1,1,0,1,0,0,3,57.65
kolhapur_nashik,Hinjewadi,2,1044,2,15,1,0,1,1,1,1,5,110.63
dehu_solapur,Loni Kalbhor,2,1080,2,18,1,0,1,0,0,1,3,53.39
kolhapur_nashik,Chakan,1,515,1,20,0,0,0,0,0,1,1,27.16
dehu_solapur,Manjri,2,820,1,9,0,1,1,1,0,0,3,50.11
kolhapur_nashik,Balewadi,3,1249,2,18,1,1,1,1,1,1,6,153.37
dehu_solapur,Wakad,1,597,1,11,1,0,0,0,1,1,3,55.52
dehu_solapur,Hadapsar,3,1325,2,22,1,1,0,1,1,0,4,114.87
dehu_solapur,Manjri,2,887,1,17,1,1,0,1,1,1,5,57.82
dehu_solapur,Wakad,2,1127,1,7,0,1,1,1,0,0,3,97.74
dehu_solapur,Loni Kalbhor,1,446,1,11,1,1,0,0,0,1,3,22.86
kolhapur_nashik,Sinhagad Road,2,1144,2,15,1,0,1,1,0,0,3,91.48
dehu_solapur,Loni Kalbhor,3,1453,2,11,0,0,1,0,0,1,2,85.12
dehu_solapur,Manjri,3,1309,2,12,0,0,0,1,1,1,3,101.19
kolhapur_nashik,Moshi,3,1453,2,5,1,1,0,1,1,1,5,81.75
dehu_solapur,Wakad,3,1294,2,4,1,1,1,1,0,0,4,124.6
dehu_solapur,Hadapsar,2,790,1,6,0,0,0,1,0,0,1,57.81
dehu_solapur,Hadapsar,4,2437,3,22,1,0,1,0,1,0,3,214.8
kolhapur_nashik,Balewadi,2,818,1,12,1,1,0,1,1,1,5,83.01
kolhapur_nashik,Alandi,3,1703,2,3,0,1,1,1,0,0,3,99.6
kolhapur_nashik,Hinjewadi,2,903,1,23,1,1,1,0,1,0,4,78.23
kolhapur_nashik,Khed Shivapur,1,545,1,16,1,1,0,0,1,1,4,36.76
dehu_solapur,Baner,3,1104,2,12,1,1,1,0,1,1,5,103.01
kolhapur_nashik,Chakan,1,391,1,6,0,1,0,0,1,1,3,19.18
dehu_solapur,Baner,1,628,1,16,0,1,1,0,1,1,4,68.85
dehu_solapur,Dehu Road,4,2116,3,0,0,1,0,1,0,1,3,95.77
dehu_solapur,Baner,3,1421,2,24,1,1,0,1,1,1,5,135.84
dehu_solapur,Manjri,1,695,1,5,1,0,0,1,0,0,2,44.76
dehu_solapur,Kiwale,2,1017,2,18,0,0,1,1,1,1,4,71.77
kolhapur_nashik,Khed Shivapur,2,912,2,18,0,1,0,1,1,1,4,57.44
dehu_solapur,Ravet,3,1337,3,12,0,1,1,1,1,1,5,112.46
dehu_solapur,Kiwale,3,1335,2,1,1,1,1,1,0,1,5,85.04
kolhapur_nashik,Balewadi,2,800,2,11,1,1,1,1,1,1,6,87.95
kolhapur_nashik,Moshi,2,829,2,11,1,0,1,0,0,1,3,47.06
dehu_solapur,Kiwale,3,1100,2,18,1,0,1,0,1,1,4,74.32
kolhapur_nashik,Balewadi,1,470,1,18,1,0,1,1,1,0,4,53.11
dehu_solapur,Loni Kalbhor,1,478,1,13,0,1,0,1,1,0,3,26.28
dehu_solapur,Hadapsar,2,878,2,11,0,0,0,1,0,0,1,77.27
dehu_solapur,Ravet,2,1136,2,10,0,1,1,0,1,1,4,65.54
kolhapur_nashik,Moshi,2,811,1,11,1,0,0,0,1,0,2,44.51
dehu_solapur,Dehu Road,3,1522,2,16,0,1,1,1,0,1,4,69.37
kolhapur_nashik,Sinhagad Road,2,972,2,1,1,1,1,0,0,0,3,71.35
dehu_solapur,Manjri,1,565,1,20,1,1,0,0,1,1,4,43.54
kolhapur_nashik,Sinhagad Road,2,988,1,5,0,0,0,0,0,1,1,79.69
kolhapur_nashik,Hinjewadi,2,1078,2,6,0,0,1,1,1,1,4,115.63
kolhapur_nashik,Sinhagad Road,2,974,2,3,1,1,0,1,1,1,5,94.42
kolhapur_nashik,Balewadi,1,651,1,4,1,0,1,1,0,0,3,49.66
dehu_solapur,Hadapsar,3,1899,2,13,0,1,1,0,1,1,4,158.77
kolhapur_nashik,Alandi,3,1411,3,17,1,1,1,0,0,1,4,77.05
dehu_solapur,Manjri,2,958,2,5,1,0,1,1,0,0,3,53.12
kolhapur_nashik,Alandi,3,1327,2,9,1,1,1,1,0,0,4,76.95
dehu_solapur,Hadapsar,2,753,1,1,1,0,0,0,1,0,2,62.34
kolhapur_nashik,Khed Shivapur,2,941,2,22,1,1,1,0,1,1,5,66.25
kolhapur_nashik,Alandi,3,1481,3,1,0,0,1,1,1,0,3,73.78
dehu_solapur,Manjri,3,1212,3,2,1,0,1,0,1,0,3,76.31
kolhapur_nashik,Alandi,3,1232,2,21,1,0,1,1,1,1,5,74.72
kolhapur_nashik,Balewadi,2,908,2,19,0,1,0,1,0,0,2,85.05
dehu_solapur,Baner,2,812,1,13,1,1,1,1,0,1,5,80.53
kolhapur_nashik,Sinhagad Road,2,861,2,6,1,1,1,1,1,0,5,80.35
kolhapur_nashik,Bhosari,4,2448,4,5,0,1,1,0,1,0,3,176.56
dehu_solapur,Hadapsar,1,452,1,17,0,1,1,0,1,1,4,36.2
dehu_solapur,Kiwale,3,1292,2,2,1,1,1,1,1,1,6,83.65
dehu_solapur,Manjri,2,983,1,21,1,1,0,0,1,0,3,77.88
kolhapur_nashik,Hinjewadi,2,950,1,5,1,1,1,0,0,1,4,108.05
kolhapur_nashik,Balewadi,3,1355,3,1,1,1,1,1,0,1,5,144.82
dehu_solapur,Loni Kalbhor,3,1569,3,14,1,0,0,0,1,1,3,101.45
kolhapur_nashik,Khed Shivapur,2,858,1,0,1,0,0,1,1,0,3,50.63
dehu_solapur,Dehu Road,2,963,1,15,0,1,1,1,1,0,4,59.29
kolhapur_nashik,Khed Shivapur,2,1031,1,5,0,1,1,0,0,0,2,52.34
kolhapur_nashik,Chakan,2,867,1,19,1,0,0,1,1,1,4,54.25
dehu_solapur,Manjri,2,754,2,4,0,1,1,0,1,1,4,49.17
dehu_solapur,Loni Kalbhor,2,1057,2,2,0,1,1,0,1,1,4,60.9
dehu_solapur,Kiwale,3,1591,3,7,1,1,0,0,1,0,3,84.64
kolhapur_nashik,Khed Shivapur,1,543,1,22,0,1,0,0,1,0,2,34.14
dehu_solapur,Hadapsar,4,2236,3,8,0,1,1,1,0,1,4,186.67
kolhapur_nashik,Hinjewadi,1,553,1,2,1,0,1,0,0,0,2,49.92
dehu_solapur,Uruli Kanchan,3,1583,2,8,1,0,1,0,0,1,3,81.67
dehu_solapur,Hadapsar,2,1023,1,23,0,0,1,0,0,1,2,85.83
dehu_solapur,Loni Kalbhor,3,1414,2,12,0,0,0,1,1,1,3,84.71
dehu_solapur,Wakad,3,1364,2,17,1,0,1,1,1,1,5,108.41
kolhapur_nashik,Bhosari,3,1157,3,23,1,1,0,0,1,1,4,99.97
dehu_solapur,Ravet,3,1865,2,9,0,1,0,1,1,1,4,155.57
dehu_solapur,Ravet,2,994,2,10,1,1,1,1,0,1,5,83.81
dehu_solapur,Dehu Road,4,2139,3,13,0,1,0,1,1,1,4,134.64
dehu_solapur,Loni Kalbhor,4,1700,3,19,1,1,0,0,0,1,3,90.93
dehu_solapur,Ravet,2,963,1,3,0,1,0,0,1,0,2,63.51
kolhapur_nashik,Balewadi,2,831,2,5,0,0,1,1,1,0,3,82.71
dehu_solapur,Hadapsar,2,833,1,13,1,0,1,0,0,0,2,74.74
dehu_solapur,Manjri,2,948,2,13,1,1,0,0,1,1,4,57.05
dehu_solapur,Hadapsar,2,800,1,1,1,0,1,1,0,1,4,68.24
dehu_solapur,Hadapsar,2,1023,2,4,1,1,0,1,0,1,4,86.87
dehu_solapur,Baner,4,1926,3,9,1,1,1,1,1,1,6,185.58
kolhapur_nashik,Khed Shivapur,2,815,2,6,0,1,0,1,1,0,3,45.42
dehu_solapur,Hadapsar,4,1970,4,5,0,1,1,1,0,0,3,186.41
kolhapur_nashik,Chakan,2,993,2,9,0,1,1,1,1,1,5,54.74
kolhapur_nashik,Moshi,2,943,1,18,0,0,0,1,1,0,2,53.88
kolhapur_nashik,Hinjewadi,2,1097,2,1,0,1,1,1,0,1,4,109.15
dehu_solapur,Loni Kalbhor,3,1268,2,7,1,1,1,1,1,0,5,74.43
kolhapur_nashik,Sinhagad Road,2,804,1,15,1,1,0,1,1,1,5,66.82
kolhapur_nashik,Khed Shivapur,3,1717,2,8,1,1,0,1,1,0,4,96.92
dehu_solapur,Loni Kalbhor,2,1115,1,8,1,1,1,1,0,1,5,52.79
kolhapur_nashik,Alandi,2,991,2,2,0,0,0,1,1,1,3,54.88
kolhapur_nashik,Hinjewadi,2,984,1,22,0,1,1,0,0,1,3,96.58
kolhapur_nashik,Sinhagad Road,2,1223,1,14,1,1,0,0,1,0,3,93.19
kolhapur_nashik,Khed Shivapur,3,1562,3,6,0,1,0,1,0,1,3,108.27
kolhapur_nashik,Khed Shivapur,4,2096,4,9,1,1,0,0,0,0,2,98.28
dehu_solapur,Uruli Kanchan,3,1403,3,11,1,1,1,1,0,0,4,80.94
dehu_solapur,Wakad,1,515,1,4,0,0,1,0,0,0,1,37.26
kolhapur_nashik,Hinjewadi,3,1586,3,8,0,0,0,0,1,0,1,132.49
kolhapur_nashik,Bhosari,2,960,2,17,0,1,1,0,1,0,3,58.85
dehu_solapur,Dehu Road,4,2074,4,19,0,0,1,1,0,0,2,105.87
kolhapur_nashik,Khed Shivapur,3,1405,2,11,1,0,1,0,1,1,4,96.71
dehu_solapur,Manjri,2,948,1,11,1,0,1,1,1,0,4,58.16
kolhapur_nashik,Chakan,2,943,1,8,1,0,0,0,0,0,1,45.94
dehu_solapur,Kiwale,2,1004,1,10,0,0,1,0,0,0,1,69.35
dehu_solapur,Loni Kalbhor,3,1563,2,6,0,0,1,1,0,0,2,83.18
dehu_solapur,Manjri,4,2214,3,0,1,1,1,1,1,0,5,145.03
dehu_solapur,Wakad,4,1908,3,1,1,1,1,0,1,1,5,163.63
dehu_solapur,Loni Kalbhor,3,1100,2,13,0,0,1,1,0,0,2,58.85
dehu_solapur,Dehu Road,2,861,2,23,0,0,1,1,0,1,3,43.88
dehu_solapur,Baner,3,1436,3,24,1,1,1,1,0,1,5,161.16
dehu_solapur,Hadapsar,3,1771,2,14,1,0,1,1,1,1,5,155.31
kolhapur_nashik,Hinjewadi,2,999,2,6,1,0,1,0,0,1,3,108.91
dehu_solapur,Kiwale,3,1395,3,23,1,1,0,0,0,0,2,95.52
dehu_solapur,Kiwale,2,885,1,5,1,0,0,1,0,1,3,54.27
dehu_solapur,Hadapsar,2,869,2,13,0,1,0,1,0,1,3,80.61
kolhapur_nashik,Hinjewadi,2,906,1,16,1,1,1,1,1,0,5,90.07
kolhapur_nashik,Alandi,2,845,1,9,1,0,0,1,1,1,4,59.06
kolhapur_nashik,Balewadi,2,1017,2,21,1,1,1,1,0,1,5,134.03
kolhapur_nashik,Moshi,3,1743,2,21,1,1,0,0,1,1,4,91.01
dehu_solapur,Wakad,3,1497,2,17,0,1,1,0,0,0,2,144.33
kolhapur_nashik,Khed Shivapur,1,588,1,8,0,1,0,1,1,0,3,27.95
kolhapur_nashik,Balewadi,2,943,1,1,0,0,0,1,0,1,2,84.47
dehu_solapur,Loni Kalbhor,2,823,1,6,0,0,1,1,0,0,2,44.92
dehu_solapur,Hadapsar,1,637,1,12,1,1,1,0,1,1,5,52.08
dehu_solapur,Ravet,2,1019,1,9,0,1,1,1,1,0,4,77.48
dehu_solapur,Wakad,4,2448,3,2,0,1,1,0,0,1,3,205.5
dehu_solapur,Dehu Road,2,1051,2,4,1,1,0,1,0,0,3,57.56
dehu_solapur,Hadapsar,1,446,1,14,0,0,0,1,1,0,2,37.75
kolhapur_nashik,Sinhagad Road,2,974,2,8,1,0,1,1,1,1,5,96.06
dehu_solapur,Kiwale,3,1309,2,15,1,1,0,1,0,1,4,74.21
kolhapur_nashik,Hinjewadi,4,2630,3,2,1,0,0,1,1,1,4,233.68
dehu_solapur,Ravet,3,1653,3,2,1,1,1,0,0,1,4,121.29
dehu_solapur,Ravet,3,1646,3,11,0,1,0,1,1,0,3,105.88
dehu_solapur,Uruli Kanchan,3,1419,2,5,0,1,1,1,1,1,5,61.61
kolhapur_nashik,Chakan,3,1470,3,0,0,1,1,0,1,0,3,73.07
dehu_solapur,Wakad,2,795,2,20,1,1,1,1,0,0,4,77.35
kolhapur_nashik,Bhosari,2,904,2,9,0,1,1,1,1,0,4,75.02
dehu_solapur,Kiwale,2,1024,1,7,1,1,1,0,1,0,4,70.05
kolhapur_nashik,Khed Shivapur,2,1165,1,9,1,0,1,1,0,0,3,71.26
kolhapur_nashik,Chakan,1,429,1,19,1,1,1,0,0,1,4,25.72
dehu_solapur,Ravet,3,1371,3,11,0,1,1,0,1,0,3,116.45
kolhapur_nashik,Sinhagad Road,4,2633,3,19,1,0,1,1,0,1,4,265.75
kolhapur_nashik,Khed Shivapur,2,959,1,18,1,1,1,0,1,0,4,73.42
kolhapur_nashik,Alandi,2,977,1,18,1,1,0,1,1,1,5,56.52
dehu_solapur,Wakad,2,1212,2,12,0,0,1,1,1,0,3,103.77
dehu_solapur,Baner,3,1468,2,14,1,0,1,1,0,0,3,142.76
dehu_solapur,Manjri,3,1356,3,14,1,0,1,1,1,0,4,95.37
dehu_solapur,Hadapsar,3,1331,2,0,1,1,1,0,1,1,5,101.15
dehu_solapur,Uruli Kanchan,2,1030,1,19,1,0,0,0,1,1,3,62.19
dehu_solapur,Baner,3,1165,3,13,1,1,0,1,0,1,4,124.47
dehu_solapur,Baner,3,1100,2,12,0,1,0,1,1,0,3,100.79
dehu_solapur,Dehu Road,4,2614,3,3,1,0,0,1,1,0,3,150.1
dehu_solapur,Manjri,3,1245,3,7,1,0,0,0,1,0,2,75.87
dehu_solapur,Ravet,2,724,2,6,1,1,1,1,1,0,5,64.55
kolhapur_nashik,Hinjewadi,2,943,2,12,0,1,0,1,1,1,4,90.11
kolhapur_nashik,Sinhagad Road,2,963,1,24,0,0,0,1,0,0,1,76.8
dehu_solapur,Hadapsar,1,750,1,0,0,0,0,1,0,1,2,47.72
dehu_solapur,Baner,2,958,1,10,1,0,1,0,1,1,4,82.51
dehu_solapur,Baner,1,485,1,12,0,0,1,1,1,0,3,57.98
kolhapur_nashik,Alandi,4,1733,3,11,0,1,1,1,1,0,4,90.95
dehu_solapur,Kiwale,3,1142,2,16,0,1,1,0,1,1,4,80.09
kolhapur_nashik,Hinjewadi,2,810,2,23,0,1,0,1,0,1,3,74.38
kolhapur_nashik,Bhosari,3,1546,3,11,0,1,0,0,1,1,3,118.82
kolhapur_nashik,Alandi,2,797,2,21,1,1,1,1,0,0,4,51.8
kolhapur_nashik,Hinjewadi,2,799,2,18,0,0,1,0,0,1,2,81.35
dehu_solapur,Hadapsar,2,966,1,12,1,1,0,1,1,1,5,70.35
dehu_solapur,Wakad,2,1087,2,7,0,0,1,0,1,0,2,106.27
kolhapur_nashik,Moshi,1,544,1,13,1,1,1,1,0,0,4,38.97
dehu_solapur,Baner,3,1188,3,24,1,1,1,1,0,1,5,154.76
dehu_solapur,Loni Kalbhor,2,999,2,20,1,0,1,0,1,0,3,53.13
dehu_solapur,Dehu Road,3,1281,2,3,1,0,1,1,0,1,4,67.93
dehu_solapur,Baner,3,1718,3,20,0,1,0,1,1,1,4,190.97
dehu_solapur,Dehu Road,2,1004,2,6,1,0,1,0,1,1,4,71.93
dehu_solapur,Ravet,1,547,1,19,1,1,1,1,0,1,5,43.45
kolhapur_nashik,Alandi,3,1239,2,20,1,0,1,0,1,0,3,76.77
dehu_solapur,Hadapsar,3,1414,2,0,1,1,1,0,0,1,4,108.64
kolhapur_nashik,Khed Shivapur,1,558,1,18,0,0,0,0,1,0,1,23.48
dehu_solapur,Uruli Kanchan,2,887,1,0,0,0,0,1,1,1,3,43.1
dehu_solapur,Hadapsar,2,845,2,23,0,1,0,1,1,1,4,79.11
kolhapur_nashik,Hinjewadi,3,1422,3,0,1,1,1,0,1,0,4,156.51
dehu_solapur,Wakad,3,1481,2,15,1,0,0,0,1,1,3,141.77
kolhapur_nashik,Balewadi,2,888,1,4,0,0,1,0,1,1,3,84.07
kolhapur_nashik,Khed Shivapur,4,2158,4,15,0,0,0,1,0,0,1,124.88
kolhapur_nashik,Balewadi,3,1394,3,24,1,0,1,0,1,0,3,133.82
dehu_solapur,Manjri,3,1406,2,2,0,0,0,1,1,1,3,85.33
dehu_solapur,Hadapsar,3,1324,3,21,1,1,0,1,1,1,5,126.43
kolhapur_nashik,Balewadi,1,489,1,6,0,0,1,1,0,1,3,55.12
dehu_solapur,Loni Kalbhor,2,1011,2,3,0,0,0,1,1,0,2,66.86
dehu_solapur,Manjri,2,998,2,0,0,0,1,0,0,1,2,61.26
kolhapur_nashik,Khed Shivapur,2,934,1,4,0,0,1,1,1,1,4,61.65
kolhapur_nashik,Chakan,2,746,2,15,1,1,0,1,0,1,4,37.97
dehu_solapur,Kiwale,1,522,1,15,1,0,1,0,1,0,3,28.14
kolhapur_nashik,Chakan,4,2256,3,23,0,1,0,1,1,0,3,112.9
dehu_solapur,Dehu Road,1,491,1,11,0,1,1,1,0,1,4,28.59
dehu_solapur,Manjri,4,2468,4,12,0,1,0,1,1,1,4,172.15
dehu_solapur,Kiwale,3,1403,2,11,1,0,1,1,0,1,4,112.48
dehu_solapur,Wakad,3,1222,2,15,0,1,0,1,1,0,3,115.9
kolhapur_nashik,Sinhagad Road,2,751,1,18,1,1,1,1,1,0,5,71.96
dehu_solapur,Dehu Road,2,1005,1,11,0,1,0,1,1,1,4,70.54
dehu_solapur,Dehu Road,2,918,2,16,1,1,1,0,1,0,4,53.68
kolhapur_nashik,Sinhagad Road,1,628,1,7,1,1,1,1,0,0,4,53.8
dehu_solapur,Loni Kalbhor,3,1273,2,11,1,1,1,1,0,1,5,97.12
kolhapur_nashik,Balewadi,2,786,2,10,1,1,1,1,0,1,5,71.0
kolhapur_nashik,Khed Shivapur,2,1031,1,2,1,1,0,0,1,1,4,65.27
dehu_solapur,Manjri,3,1290,2,23,1,0,1,0,0,0,2,96.1
kolhapur_nashik,Khed Shivapur,3,1275,3,12,1,1,0,0,1,1,4,75.97
kolhapur_nashik,Chakan,2,832,1,5,0,1,0,0,1,1,3,41.0
dehu_solapur,Loni Kalbhor,3,1634,2,15,0,0,1,1,0,1,3,84.84
kolhapur_nashik,Chakan,1,621,1,18,0,0,0,1,0,1,2,41.34
kolhapur_nashik,Moshi,3,1562,3,7,1,1,1,0,1,0,4,93.59
kolhapur_nashik,Hinjewadi,2,908,2,18,1,0,1,0,0,1,3,83.28
dehu_solapur,Wakad,2,1043,2,1,0,1,0,1,0,0,2,105.4
dehu_solapur,Baner,2,855,2,8,1,1,0,1,1,0,4,79.88
dehu_solapur,Uruli Kanchan,3,1155,2,2,1,0,1,0,0,1,3,51.1
kolhapur_nashik,Hinjewadi,2,889,1,24,0,0,0,0,1,1,2,90.64
kolhapur_nashik,Balewadi,2,1087,2,14,1,0,1,1,1,1,5,110.42
dehu_solapur,Kiwale,3,1307,2,14,1,0,0,1,0,0,2,85.82
kolhapur_nashik,Moshi,3,1571,2,15,0,0,1,0,0,1,2,84.35
kolhapur_nashik,Hinjewadi,3,1293,3,3,0,0,1,1,0,0,2,132.67
dehu_solapur,Hadapsar,2,903,2,6,1,0,0,0,0,0,1,64.41
dehu_solapur,Uruli Kanchan,3,1532,2,5,0,1,0,1,1,0,3,62.81
dehu_solapur,Ravet,1,576,1,16,0,1,1,0,1,1,4,39.57
kolhapur_nashik,Alandi,3,1503,2,10,0,0,1,1,0,0,2,74.54
kolhapur_nashik,Khed Shivapur,3,1417,2,7,1,0,0,0,1,1,3,73.6
kolhapur_nashik,Alandi,2,954,2,5,1,1,1,1,1,0,5,60.3
dehu_solapur,Hadapsar,1,415,1,0,0,1,0,1,1,1,4,29.88
dehu_solapur,Loni Kalbhor,4,2172,3,15,0,0,0,0,0,1,1,115.64
dehu_solapur,Uruli Kanchan,2,803,1,14,0,1,1,1,0,0,3,39.4
kolhapur_nashik,Chakan,1,644,1,1,1,1,0,1,0,0,3,27.96
kolhapur_nashik,Alandi,2,1164,1,7,0,1,1,0,1,0,3,66.39
kolhapur_nashik,Bhosari,3,1199,2,8,0,1,1,1,0,1,4,82.11
kolhapur_nashik,Chakan,2,1022,2,9,1,1,0,0,1,1,4,61.84
kolhapur_nashik,Alandi,3,1745,2,14,1,0,0,0,0,0,1,68.9
kolhapur_nashik,Sinhagad Road,3,1402,2,22,1,1,1,1,1,1,6,122.68
kolhapur_nashik,Chakan,3,1380,2,5,1,1,0,1,1,1,5,88.74
kolhapur_nashik,Alandi,3,1109,3,15,1,0,0,0,1,1,3,71.11
dehu_solapur,Uruli Kanchan,2,1026,1,10,0,1,1,0,0,1,3,56.93
kolhapur_nashik,Khed Shivapur,3,1638,2,18,1,1,1,0,0,1,4,94.59
kolhapur_nashik,Alandi,2,1052,1,11,0,0,0,0,1,1,2,43.63
dehu_solapur,Baner,2,1072,2,22,1,1,1,1,1,1,6,89.05
dehu_solapur,Ravet,4,2283,3,19,0,1,1,0,1,1,4,188.27
dehu_solapur,Wakad,2,978,1,4,1,0,1,0,1,1,4,64.5
dehu_solapur,Wakad,1,462,1,20,1,1,1,0,1,0,4,49.05
dehu_solapur,Loni Kalbhor,3,1257,3,22,0,0,0,1,0,1,2,78.83
kolhapur_nashik,Bhosari,3,1555,3,5,1,1,1,1,0,0,4,75.66
kolhapur_nashik,Moshi,4,2603,3,12,1,0,0,0,0,1,2,127.99
dehu_solapur,Wakad,3,1327,2,3,1,1,1,0,1,0,4,127.33
kolhapur_nashik,Bhosari,1,594,1,20,1,0,0,0,1,0,2,32.8
dehu_solapur,Baner,2,1124,1,5,1,1,0,1,1,0,4,101.11
kolhapur_nashik,Sinhagad Road,2,746,1,13,0,1,0,0,0,0,1,59.22
dehu_solapur,Wakad,3,1297,3,13,0,1,1,1,1,0,4,120.46
kolhapur_nashik,Balewadi,2,940,1,20,0,0,1,1,1,1,4,87.92
kolhapur_nashik,Chakan,2,1092,1,19,1,1,1,1,1,0,5,56.34
kolhapur_nashik,Moshi,3,1312,3,2,0,0,0,1,0,1,2,59.02
dehu_solapur,Baner,3,1394,2,21,0,1,0,0,1,0,2,144.66
dehu_solapur,Kiwale,3,1401,2,6,1,1,1,0,1,0,4,97.03
kolhapur_nashik,Hinjewadi,3,1610,2,4,1,1,1,1,0,1,5,170.47
kolhapur_nashik,Sinhagad Road,2,822,2,1,1,1,1,1,1,0,5,52.46
dehu_solapur,Wakad,4,2220,3,13,1,1,1,1,1,1,6,214.2
dehu_solapur,Ravet,1,549,1,19,0,0,0,1,0,1,2,35.43
kolhapur_nashik,Khed Shivapur,2,800,1,9,1,1,1,0,1,1,5,57.64
kolhapur_nashik,Khed Shivapur,2,773,1,12,0,1,1,0,0,1,3,47.06
kolhapur_nashik,Alandi,1,642,1,11,1,0,0,1,1,1,4,38.96
kolhapur_nashik,Alandi,2,883,2,7,1,1,1,1,1,1,6,47.66
dehu_solapur,Ravet,1,659,1,4,1,1,0,1,1,1,5,49.2
dehu_solapur,Manjri,1,459,1,20,0,1,1,0,1,1,4,31.04
kolhapur_nashik,Moshi,2,700,1,5,1,0,1,0,1,1,4,46.02
kolhapur_nashik,Hinjewadi,2,1046,1,20,1,1,1,1,0,1,5,94.13
dehu_solapur,Loni Kalbhor,1,463,1,18,1,1,1,0,0,1,4,27.16
dehu_solapur,Manjri,2,768,1,13,1,0,0,0,1,0,2,47.79
kolhapur_nashik,Alandi,4,1912,4,12,1,0,0,1,0,1,3,114.67
dehu_solapur,Baner,3,1602,2,16,1,1,1,1,1,1,6,158.66
kolhapur_nashik,Alandi,1,545,1,22,1,0,1,0,1,0,3,34.17
dehu_solapur,Loni Kalbhor,3,1229,2,10,0,1,0,0,1,0,2,64.71
dehu_solapur,Dehu Road,4,1700,3,5,0,1,1,1,0,0,3,99.2
dehu_solapur,Uruli Kanchan,1,549,1,0,1,0,1,0,0,0,2,32.92
kolhapur_nashik,Alandi,1,531,1,22,0,0,1,1,1,1,4,27.78
kolhapur_nashik,Alandi,3,1625,3,4,0,1,0,1,0,0,2,78.41
dehu_solapur,Manjri,2,1075,2,19,1,0,1,1,1,1,5,94.09
kolhapur_nashik,Moshi,4,1996,3,19,1,1,1,0,0,0,3,117.94
dehu_solapur,Manjri,3,1492,3,20,1,0,0,0,0,1,2,91.83
dehu_solapur,Wakad,2,837,2,3,0,0,1,1,0,0,2,83.97
dehu_solapur,Ravet,4,2185,3,18,0,1,0,1,0,0,2,180.91
